sent,sentruby,level
会社で使っているパソコンでは４０％以上が使っていました。,会社(かいしゃ)で使(つか)っているパソコンでは４０％以上(いじょう)が使(つか)っていました。,4.5
岡山県と香川県の間にある６つの橋を合わせて瀬戸大橋といいます。,岡山県(おかやまけん)と香川県(かがわけん)の間(あいだ)にある６つの橋(はし)を合(あ)わせて瀬戸(せと)大橋(おおはし)といいます。,3.5
このため、今は、亀裂にペンキなどを塗って、鉄がさびないようにしています。,このため、今(いま)は、亀裂(きれつ)にペンキなどを塗(ぬ)って、鉄(てつ)がさびないようにしています。,2.4
しかし、これからＪＲ四国とも相談して、どうやって直したらいいか考えます。,しかし、これからＪＲ四国(しこく)とも相談(そうだん)して、どうやって直(なお)したらいいか考(かんが)えます。,3.8
サッチャーさんは８日の朝、脳卒中を起こしたあと亡くなりました。,サッチャーさんは８日(ようか)の朝(あさ)、脳卒中(のうそっちゅう)を起(お)こしたあと亡(な)くなりました。,3.6
若いキム第１書記のそばにいつもいて、政治を助けてきました。,若(わか)いキム第(だい)１書記(しょき)のそばにいつもいて、政治(せいじ)を助(たす)けてきました。,3.0
スイッチを切ると、動かすことができなくなりました。,スイッチを切(き)ると、動(うご)かすことができなくなりました。,4.0
温かい海に住んでいて、自分の体から出したもので作った貝殻を体に付けています。,温(あたた)かい海(うみ)に住(す)んでいて、自分(じぶん)の体(からだ)から出(だ)したもので作(つく)った貝殻(かいがら)を体(からだ)に付(つ)けています。,3.7
このアオイガイは、１１日の朝、網の中から見つかりました。,このアオイガイは、１１日(にち)の朝(あさ)、網(あみ)の中(なか)から見(み)つかりました。,4.0
世界でも有名な作家の村上春樹さんが新しい本を出しました。,世界(せかい)でも有名(ゆうめい)な作家(さっか)の村上(むらかみ)春樹(はるき)さんが新(あたら)しい本(ほん)を出(だ)しました。,4.2
レジで待つ間に読み始める人や、一度に１０冊買う人もいました。,レジで待(ま)つ間(あいだ)に読(よ)み始(はじ)める人(ひと)や、一(いち)度(ど)に１０冊(さつ)買(か)う人(ひと)もいました。,4.4
新しい小説についても、どんな話かはっきり知らせていませんでした。,新(あたら)しい小説(しょうせつ)についても、どんな話(はなし)かはっきり知(し)らせていませんでした。,4.6
１４日、淡路島で被害が大きかった所を市が調べました。,１４日(じゅうよっか)、淡路島(あわじしま)で被害(ひがい)が大(おお)きかった所(ところ)を市(し)が調(しら)べました。,3.3
これまでは、上海市とその周りの地方で感染する人がほとんどでした。,これまでは、上海市(しゃんはいし)とその周(まわ)りの地方(ちほう)で感染(かんせん)する人(ひと)がほとんどでした。,3.7
ゴールしようとしていた人や見ていた人たちが爆発で倒れるなどしました。,ゴールしようとしていた人(ひと)や見(み)ていた人(ひと)たちが爆発(ばくはつ)で倒(たお)れるなどしました。,3.8
ボストンマラソンは１８９７年から行っている有名なマラソン大会です。,ボストンマラソンは１８９７年(ねん)から行(おこな)っている有名(ゆうめい)なマラソン大会(たいかい)です。,4.8
ボストンマラソンは日本の人たちにも人気があります。,ボストンマラソンは日本(にっぽん)の人(ひと)たちにも人気(にんき)があります。,5.0
ボストンにある日本の領事館は、日本人でけがなどをした人がいないか調べています。,ボストンにある日本(にっぽん)の領事館(りょうじかん)は、日本人(にっぽんじん)でけがなどをした人(ひと)がいないか調(しら)べています。,4.3
オバマ大統領は１６日、この事件をテロと考えて捜査していると言いました。,オバマ大統領(だいとうりょう)は１６日(にち)、この事件(じけん)をテロと考(かんが)えて捜査(そうさ)していると言(い)いました。,3.2
新島と神津島、御蔵島では震度４でした。,新島(にいじま)と神津島(こうづしま)、御蔵島(みくらじま)では震度(しんど)４でした。,2.8
三宅島の西の沖では、１７日午前１０時ごろから地震が続いています。,三宅島(みやけじま)の西(にし)の沖(おき)では、１７日(にち)午前(ごぜん)１０時(じ)ごろから地震(じしん)が続(つづ)いています。,3.8
牛丼の店を出す会社はほかにもありますが、売り上げはあまり増えていません。,牛丼(ぎゅうどん)の店(みせ)を出(だ)す会社(かいしゃ)はほかにもありますが、売(う)り上(あ)げはあまり増(ふ)えていません。,4.0
このため、牛丼の店の競争はまた厳しくなっています。,このため、牛丼(ぎゅうどん)の店(みせ)の競争(きょうそう)はまた厳(きび)しくなっています。,2.8
泣いている赤ちゃんを抱いて歩くと、泣くのをやめて眠ることがあります。,泣(な)いている赤(あか)ちゃんを抱(だ)いて歩(ある)くと、泣(な)くのをやめて眠(ねむ)ることがあります。,3.0
実験は、まず１２人のお母さんとその赤ちゃんに行いました。,実験(じっけん)は、まず１２人(にん)のお母(かあ)さんとその赤(あか)ちゃんに行(おこな)いました。,4.3
歩いているとき赤ちゃんが泣く時間は、座っているときの約１０％でした。,歩(ある)いているとき赤(あか)ちゃんが泣(な)く時間(じかん)は、座(すわ)っているときの約(やく)１０％でした。,3.7
マウスの首の後ろを人が持って上に上げる実験も行いました。,マウスの首(くび)の後(うし)ろを人(ひと)が持(も)って上(うえ)に上(あ)げる実験(じっけん)も行(おこな)いました。,4.4
１人は、黒い帽子をかぶってサングラスをかけている男です。,１人(ひとり)は、黒(くろ)い帽子(ぼうし)をかぶってサングラスをかけている男(おとこ)です。,4.2
もう１人は、白い帽子をかぶって黒い服を着ている男です。,もう１人(ひとり)は、白(しろ)い帽子(ぼうし)をかぶって黒(くろ)い服(ふく)を着(き)ている男(おとこ)です。,4.2
調査チームは、今回の調査のレポートを１か月以内に発表することにしています。,調査(ちょうさ)チームは、今回(こんかい)の調査(ちょうさ)のレポートを１か月(げつ)以内(いない)に発表(はっぴょう)することにしています。,3.5
全部で５兆４０００億円が必要になることが分かりました。,全部(ぜんぶ)で５兆(ちょう)４０００億(おく)円(えん)が必要(ひつよう)になることが分(わ)かりました。,3.5
この場合、全部で１０兆円以上かかります。,この場合(ばあい)、全部(ぜんぶ)で１０兆(ちょう)円(えん)以上(いじょう)かかります。,3.9
鎌倉には鶴岡八幡宮という神社などがあります。,鎌倉(かまくら)には鶴岡八幡宮(つるがおかはちまんぐう)という神社(じんじゃ)などがあります。,2.6
文化庁は県などとこれからどうするかなどを話し合います。,文化庁(ぶんかちょう)は県(けん)などとこれからどうするかなどを話(はな)し合(あ)います。,3.7
２回続けて勝ったあと、１日、大阪で３回目の試合を行いました。,２回(かい)続(つづ)けて勝(か)ったあと、１日(ついたち)、大阪(おおさか)で３回(かい)目(め)の試合(しあい)を行(おこな)いました。,3.9
そして、上田さんが負けたと言って終わりました。,そして、上田(うえだ)さんが負(ま)けたと言(い)って終(お)わりました。,4.2
日本の将棋の歴史では初めて女性で５つのタイトルを持つことになりました。,日本(にっぽん)の将棋(しょうぎ)の歴史(れきし)では初(はじ)めて女性(じょせい)で５つのタイトルを持(も)つことになりました。,3.3
積極的に速く戦うため、「出雲のイナズマ」と呼ばれています。,積極的(せっきょくてき)に速(はや)く戦(たたか)うため、「出雲(いずも)のイナズマ」と呼(よ)ばれています。,3.1
世界でいちばん小さいアニメーションをアメリカの会社「ＩＢＭ」が作りました。,世界(せかい)でいちばん小(ちい)さいアニメーションをアメリカの会社(かいしゃ)「ＩＢＭ」が作(つく)りました。,4.5
１つの点は、物の形を作るいちばん小さい粒＝原子です。,１つの点(てん)は、物(もの)の形(かたち)を作(つく)るいちばん小(ちい)さい粒(つぶ)＝原子(げんし)です。,3.6
原子は部屋の中など普通の温度の中では動いています。,原子(げんし)は部屋(へや)の中(なか)など普通(ふつう)の温度(おんど)の中(なか)では動(うご)いています。,3.8
