日本語,タイ語,日本語,タイ語
浪費する、消耗する,เปลือง,浪費する、消耗する,เปลือง
検疫所,ด่านกักกันพืชและสัตว์,検疫所,ด่านกักกันพืชและสัตว์
上達する,ก้าวหน้า,上達する,ก้าวหน้า
暴力,ความรุนแรง,暴力,ความรุนแรง
原料、材料,วัตถุดิบ,原料、材料,วัตถุดิบ
涙腺,ต่อมน้ำตา,涙腺,ต่อมน้ำตา
極悪な,อุบาทว์,極悪な,อุบาทว์
監禁する,กักขัง,監禁する,กักขัง
線、画数の類別詞,ขีด,線、画数の類別詞,ขีด
ありふれた、一般的に,พื้นๆ,ありふれた、一般的に,พื้นๆ
爆竹,ประทัด,爆竹,ประทัด
すする,ซด,すする,ซด
お手玉,หมากเก็บ,お手玉,หมากเก็บ
温水器,เครื่องทำน้ำอุ่น,温水器,เครื่องทำน้ำอุ่น
注、注釈,หมายเหตุ,注、注釈,หมายเหตุ
屋上,ดาดฟ้า,屋上,ดาดฟ้า
転がして押す,เข็น,転がして押す,เข็น
天狗になる,เหลิง,天狗になる,เหลิง
工具,เครื่องมือช่าง,工具,เครื่องมือช่าง
インフレ,เงินเฟ้อ,インフレ,เงินเฟ้อ
予測,การกะประมาณ,予測,การกะประมาณ
仕事を投げる,โยนงาน,仕事を投げる,โยนงาน
茂み,พุ่ม,茂み,พุ่ม
急に振り向く,หันขวับ,急に振り向く,หันขวับ
皮・殻を剥く,ปอกเปลือก,皮・殻を剥く,ปอกเปลือก
欠航する,งดบิน,欠航する,งดบิน
謝罪する、許しを請う,ขอขมา,謝罪する、許しを請う,ขอขมา
格子模様の、チェック柄の,ลายหมากรุก,格子模様の、チェック柄の,ลายหมากรุก
丘,เนิน,丘,เนิน
穴を開ける、パンチする,เจาะรู,穴を開ける、パンチする,เจาะรู
以前,มาก่อน,以前,มาก่อน
無常,อนิจจัง,無常,อนิจจัง
悪人,ทรชน,悪人,ทรชน
空き地,ที่ดินว่างเปล่า,空き地,ที่ดินว่างเปล่า
予備の,สำรอง,予備の,สำรอง
説明書,คู่มือ,説明書,คู่มือ
硬い,แกร่ง,硬い,แกร่ง
てんとうむし,แมลงเต่าทอง,てんとうむし,แมลงเต่าทอง
犠牲になる,เสียสละ,犠牲になる,เสียสละ
（積極的な）新聞記者,เหยี่ยวข่าว,（積極的な）新聞記者,เหยี่ยวข่าว
延期する,ผัดวันประกันพรุ่ง,延期する,ผัดวันประกันพรุ่ง
変顔,หน้าทะเล้น,変顔,หน้าทะเล้น
怖い(イサーン),เป็นตาย่าน,怖い(イサーン),เป็นตาย่าน
難民,ผู้ลี้ภัย,難民,ผู้ลี้ภัย
(下などから)抜け出る,ลอด,(下などから)抜け出る,ลอด
Short term lover,ตัวคั่นเวลา,Short term lover,ตัวคั่นเวลา
でこぼこ,ขรุขระ,でこぼこ,ขรุขระ
藁,ฟาง,藁,ฟาง
大仏,หลวงพ่อโต,大仏,หลวงพ่อโต
主義,นิยม,主義,นิยม
吸収する,ดูดกลืน,吸収する,ดูดกลืน
推定する,สันนิษฐาน,推定する,สันนิษฐาน
インスパイアする,บันดาล,インスパイアする,บันดาล
つい、うっかり,พลั้งเผลอ,つい、うっかり,พลั้งเผลอ
威嚇する,คุกคาม,威嚇する,คุกคาม
クリアな、鮮明な,สดใส,クリアな、鮮明な,สดใส
招待する,เชื้อเชิญ,招待する,เชื้อเชิญ
気難しい,เอาใจยาก,気難しい,เอาใจยาก
私立の,เอกชน,私立の,เอกชน
結論づける,ลงความเห็น,結論づける,ลงความเห็น
目薬,ยาหยอดตา,目薬,ยาหยอดตา
…中心の、…がメインの,…เป็นที่ตั้ง,…中心の、…がメインの,…เป็นที่ตั้ง
実用、応用する,ประยุกต์,実用、応用する,ประยุกต์
避雷針,สายล่อฟ้า,避雷針,สายล่อฟ้า
傾向,แนวโน้ม,傾向,แนวโน้ม
記録を破る,ทำลายสถิติ,記録を破る,ทำลายสถิติ
修行する,ปฏิบัติธรรม,修行する,ปฏิบัติธรรม
未亡人,แม่หม้าย,未亡人,แม่หม้าย
付録,ผนวก,付録,ผนวก
アリクイ,คัวกินมด,アリクイ,คัวกินมด
手から逃す,หลุดมือ,手から逃す,หลุดมือ
リビング,ห้องนั่งเล่น,リビング,ห้องนั่งเล่น
背負う,แบก,背負う,แบก
ちょっかいを出す、手を出す,เผือก,ちょっかいを出す、手を出す,เผือก
人類学,มานุษยวิทยา,人類学,มานุษยวิทยา
(宝石など)カット、研磨,เจียระไน,(宝石など)カット、研磨,เจียระไน
取引,ติดต่อค้าขาย,取引,ติดต่อค้าขาย
〜の方向の、〜を向いた,ไปยัง,〜の方向の、〜を向いた,ไปยัง
ジョーク,มุกตลก,ジョーク,มุกตลก
磨耗,สึกกร่อน,磨耗,สึกกร่อน
脚立,บันไดพาด,脚立,บันไดพาด
善事を行う,ประกอบคุณงามความดี,善事を行う,ประกอบคุณงามความดี
殻を剥く,แกะกาก,殻を剥く,แกะกาก
伝達する,ส่งผ่าน,伝達する,ส่งผ่าน
時効,อายุความ,時効,อายุความ
詩,บทกวี,詩,บทกวี
内臓脂肪,ไขมันในช่องท้อง,内臓脂肪,ไขมันในช่องท้อง
復活、蘇生する,ฟื้นคืนชีพ,復活、蘇生する,ฟื้นคืนชีพ
頼る、依存する,พึ่งพิง,頼る、依存する,พึ่งพิง
確認する、主張する,ยืนยัน,確認する、主張する,ยืนยัน
思い通りになる,ดั่งใจปรารถนา,思い通りになる,ดั่งใจปรารถนา
ダーリン,ที่รัก,ダーリン,ที่รัก
透明な,โปร่งใส,透明な,โปร่งใส
エキスパートな,เซียน,エキスパートな,เซียน
票をお金で買う,คืนหมาหอน,票をお金で買う,คืนหมาหอน
選択する,เลือกสรร,選択する,เลือกสรร
摩擦力,แรงเสียดทาน,摩擦力,แรงเสียดทาน
時々,เป็นครั้งคราว,時々,เป็นครั้งคราว
家屋、住居,เรือน,家屋、住居,เรือน
奮闘する,ดิ้นรนต่อสู้,奮闘する,ดิ้นรนต่อสู้
味音痴,ลิ้นจระเข้,味音痴,ลิ้นจระเข้
分子,โมเลกุล,分子,โมเลกุล
設立する,ก่อตั้ง,設立する,ก่อตั้ง
干し柿,ลูกพลับแห้ง,干し柿,ลูกพลับแห้ง
九官鳥,นกขุนทอง,九官鳥,นกขุนทอง
〜とよく呼ばれる,เรียกติดปากว่า,〜とよく呼ばれる,เรียกติดปากว่า
偶然,โดยบังเอิญ,偶然,โดยบังเอิญ
しつけ,การอบรม,しつけ,การอบรม
刑事,สารวัตร,刑事,สารวัตร
維持する、バランスを保つ,ทรงตัว,維持する、バランスを保つ,ทรงตัว
目の保養,อาหารตา,目の保養,อาหารตา
