No.,ジャンル,日本語,タイ語読み,タイ語文字
1,人やものをさす言葉,私（男性）,phǒm,ผม
1,人やものをさす言葉,私（女性）,dìʔ chǎn,ดิฉัน
1,人やものをさす言葉,私たち,phûak raw,(พวก)เรา
1,人やものをさす言葉,あなた・〜さん,khun ~,คุณ(~)
1,人やものをさす言葉,おなたたち・きみたち,phûak khun,พวกคุณ
1,人やものをさす言葉,彼・彼女,khǎw,เขา
1,人やものをさす言葉,彼ら・彼女たち,phûak khǎw,พวกเขา
1,人やものをさす言葉,それ（動物などに）,man,มัน
1,人やものをさす言葉,みなさん,thúk thân,ทุกท่าน
1,人やものをさす言葉,この〜,~ níi,~นี้
1,人やものをさす言葉,その〜,~ nán,~นั้น
1,人やものをさす言葉,あの〜,~ nóon,~โน้น
1,人やものをさす言葉,この人,khon níi,คนนี้
1,人やものをさす言葉,その人,khon nán,คนนั้น
1,人やものをさす言葉,あの人,khon nóon,คนโน้น
1,人やものをさす言葉,これ,nîi / ʔan níi,นี่/อันนี้
1,人やものをさす言葉,それ,nân / ʔan nán,นั่น/อันนั้น
1,人やものをさす言葉,あれ,nôon / ʔan nóon,โน่น/อันโน้น
1,人やものをさす言葉,これらの〜,~ phûak níi,~พวกนี้
1,人やものをさす言葉,それらの〜,~ phûak nán,~พวกนั้น
1,人やものをさす言葉,あれらの〜,~ phûak nóon,~พวกโน้น
2,たずねる言葉,何（の〜）,~ ʔà ray,(~)อะไร
2,たずねる言葉,何という名前ですか。,chɯ̂ɯ ʔà ray,ชื่ออะไร
2,たずねる言葉,どうしたの,pen ʔà ray,เป็นอะไร
2,たずねる言葉,どんな用,thúʔ ráʔ ʔà ray,ธุระอะไร
2,たずねる言葉,どういう意味,plɛɛ wâa ʔà ray,แปลว่าอะไร
2,たずねる言葉,誰,kray,ใคร
2,たずねる言葉,誰の,khɔ̌ɔŋ kray,ของใคร
2,たずねる言葉,誰と,kàp kray,กับใคร
2,たずねる言葉,どの〜,~ nǎy,~ไหน
2,たずねる言葉,どこ,thîi nǎy,ที่ไหน
2,たずねる言葉,どこ（狭く）,troŋ nǎy,ตรงไหน
2,たずねる言葉,どれ,ʔan nǎy,อันไหน
2,たずねる言葉,どちらのほう,thaaŋ nǎy,ทางไหน
2,たずねる言葉,どの人,khon nǎy,คนไหน
2,たずねる言葉,なぜ,tham may,ทำไม
2,たずねる言葉,いつ,mɯ̂a ray,เมื่อไร
2,たずねる言葉,どのような（に）,yàaŋ ray,อย่างไร
2,たずねる言葉,どうですか,pen yàaŋ ray,เป็นอย่างไร
2,たずねる言葉,どうしよう,tham yàaŋ ray,ทำอย่างไร
2,たずねる言葉,いくら,thâw ray,เท่าไร
2,たずねる言葉,いくつ（年齢をきく）,ʔaa yúʔ thâw ray,อายุเท่าไร
3,数える言葉,1,nɯ̀ŋ,หนึ่ง
3,数える言葉,2,sɔ̌ɔŋ,สอง
3,数える言葉,3,sǎam,สาม
3,数える言葉,4,sìi,สี่
3,数える言葉,5,hâa,ห้า
3,数える言葉,6,hòk,หก
3,数える言葉,7,cèt,เจ็ด
3,数える言葉,8,pɛ̀ɛt,แปด
3,数える言葉,9,kâaw,เก้า
3,数える言葉,10,sìp,สิบ
3,数える言葉,11,sìp ʔèt,สิบเอ็ด
3,数える言葉,12,sìp sɔ̌ɔŋ,สิบสอง
3,数える言葉,13,sìp sǎam,สิบสาม
3,数える言葉,14,sìp sìi,สิบสี่
3,数える言葉,15,sìp hâa,สิบห้า
3,数える言葉,16,sìp hòk,สิบหก
3,数える言葉,17,sìp cèt,สิบเจ็ด
3,数える言葉,18,sìp pɛ̀ɛt,สิบแปด
3,数える言葉,19,sìp kâaw,สิบเก้า
3,数える言葉,20,yîi sìp,ยี่สิบ
3,数える言葉,21,yîi sìp ʔèt,ยี่สิบเอ็ด
4,大きな数を数える,30,sǎam sìp,สามสิบ
4,大きな数を数える,40,sìi sìp,สี่สิบ
4,大きな数を数える,50,hâa sìp,ห้าสิบ
4,大きな数を数える,60,hòk sìp,หกสิบ
4,大きな数を数える,70,cèt sìp,เจ็ดสิบ
4,大きな数を数える,80,pɛ̀ɛt sìp,แปดสิบ
4,大きな数を数える,90,kâaw sìp,เก้าสิบ
4,大きな数を数える,100,rɔ́ɔy,ร้อย
4,大きな数を数える,千,phan,พัน
4,大きな数を数える,万,mɯ̀ɯn,หมื่น
4,大きな数を数える,十万,sɛ̌ɛn,แสน
4,大きな数を数える,百万,láan,ล้าน
4,大きな数を数える,千万,sìp láan,สิบล้าน
4,大きな数を数える,億,rɔ́ɔy láan,ร้อยล้าน
4,大きな数を数える,兆,láan láan,ล้านล้าน
4,大きな数を数える,ゼロ,sǔun,ศูนย์
4,大きな数を数える,99,kâaw sìp kâaw,เก้าสิบเก้า
4,大きな数を数える,101,rɔ́ɔy nɯ̀ŋ,ร้อยหนึ่ง
4,大きな数を数える,1001,phan nɯ̀ŋ,พันหนึ่ง
4,大きな数を数える,1989,nɯ̀ŋ phan kâaw rɔ́ɔy kâaw sìp kâaw,หนึ่งพันเก้าร้อยเก้าสิบเก้า
4,大きな数を数える,2532,sɔ̌ɔŋ phan hâa rɔ́ɔy sǎam sìp sɔ̌ɔŋ,สองพันห้าร้อยสามสิบสอง
5,その他の数の数え方,数,lêek,เลข
5,その他の数の数え方,2・3の〜,sɔ̌ɔŋ sǎam ~,สองสาม~
5,その他の数の数え方,第一の〜・一番目の〜,~ thîi nɯ̀ŋ,~ที่หนึ่ง
5,その他の数の数え方,2番目の〜,~ thîi sɔ̌ɔŋ,~ที่สอง
5,その他の数の数え方,何番目の〜,~ thîi thâw ray,~ที่เท่าไร
5,その他の数の数え方,いくつの〜,kìi ~,กี่~
5,その他の数の数え方,何個,kìi ʔan,กี่อัน
5,その他の数の数え方,それぞれの〜,tɛ̀ɛ láʔ ~,แต่ละ~
5,その他の数の数え方,すべての〜,thúk ~,ทุก~
5,その他の数の数え方,〜万以上,mɯ̀ɯn kwàa,หมื่นกว่า
5,その他の数の数え方,数え切れない,náp mây thûan,นับไม่ถ้วน
5,その他の数の数え方,だいたい,pra maan,ประมาณ
5,その他の数の数え方,3分の1（分数）,sèet nɯ̀ŋ sùan sǎam,เศษหนึ่งส่วนสาม
5,その他の数の数え方,12.39（小数）,sìp sɔ̌ɔŋ cùt sǎam kâaw,สิบสองจุดสามเก้า
5,その他の数の数え方,半分,khrɯ̂ŋ,ครึ่ง
5,その他の数の数え方,〜倍,~ thâw,~เท่า
5,その他の数の数え方,足す,bùak,บวก
5,その他の数の数え方,引く,lóp,ลบ
5,その他の数の数え方,かける,khuun,คูณ
5,その他の数の数え方,割る,hǎan,หาร
5,その他の数の数え方,イコール〜,thâw kàp ~,เท่ากับ~
6,ー日の時間を表す,未明,cháaw mɯ̂ɯt,เช้ามืด
6,ー日の時間を表す,明け方,cháaw trùu,เช้าตรู่
6,ー日の時間を表す,朝（早く）,cháaw,เช้า
6,ー日の時間を表す,午前中,tɔɔn cháaw,ตอนเช้า
6,ー日の時間を表す,朝（遅く）,tɔɔn sǎay,ตอนสาย
6,ー日の時間を表す,正午,thîaŋ wan,เที่ยงวัน
6,ー日の時間を表す,午後,tɔɔn bàay,ตอนบ่าย
6,ー日の時間を表す,昼（間）,klaaŋ wan,กลางวัน
6,ー日の時間を表す,夕方から晩にかけて,tɔɔn yen,ตอนเย็น
6,ー日の時間を表す,夜間・夜中,klaaŋ khɯɯn,กลางคืน
6,ー日の時間を表す,深夜,dɯ̀k,ดึก
6,ー日の時間を表す,一日,nɯ̀ŋ wan,หนึ่งวัน
6,ー日の時間を表す,一日中,tà lɔ̀ɔt tháŋ wan,ตลอดทั้งวัน
6,ー日の時間を表す,半日,khrɯ̂ŋ wan,ครึ่งวัน
6,ー日の時間を表す,時間・時刻,wee laa,เวลา
6,ー日の時間を表す,時間,chûa mooŋ,ชั่วโมง
6,ー日の時間を表す,何時間,kìi chûa mooŋ,กี่ชั่วโมง
6,ー日の時間を表す,〜時,~ mooŋ,~โมง
6,ー日の時間を表す,何時（たずねる時）,kìi mooŋ,กี่โมง
6,ー日の時間を表す,分,naa thii,นาที
6,ー日の時間を表す,秒,wíʔ naa thii,วินาที
7,時刻の言い方,午前1時,tii nîi,ตีหนี่ง
7,時刻の言い方,午前2時,tii sɔ̌ɔŋ,ตีสอง
7,時刻の言い方,午前5時,tii hâa,ตีห้า
7,時刻の言い方,午前6時,hòk mooŋ cháaw,หกโมงเช้า
7,時刻の言い方,午前7時,cèt mooŋ cháaw,เจ็ดโมงเช้า
7,時刻の言い方,午前8時,pɛ̀ɛt mooŋ cháaw,แปดโมงเช้า
7,時刻の言い方,午前11時,sìp ʔèt mooŋ cháaw,สิบเอ็ดโมงเช้า
7,時刻の言い方,正午,thîaŋ,เที่ยง
7,時刻の言い方,午後1時,bàay mooŋ,บ่ายโมง
7,時刻の言い方,午後2時,bàay sɔ̌ɔŋ mooŋ,บ่ายสองโมง
7,時刻の言い方,午後3時,bàay sǎam mooŋ,บ่ายสามโมง
7,時刻の言い方,午後4時,sìi mooŋ yen,สี่โมงเย็น
7,時刻の言い方,午後6時,hòk mooŋ yen,หกโมงเย็น
7,時刻の言い方,午後7時,thûm,ทุ่ม
7,時刻の言い方,午後8時,sɔ̌ɔŋ thûm,สองทุ่ม
7,時刻の言い方,午後9時,sǎam thûm,สามทุ่ม
7,時刻の言い方,午後10時,sìi thûm,สี่ทุ่ม
7,時刻の言い方,午後11時,hâa thûm,ห้าทุ่ม
7,時刻の言い方,午前0時,thîaŋ khɯɯn,เที่ยงคืน
