page,jp,phone,th
1,私（男性）,phǒm,ผม
1,私（女性）,dìʔ chǎn,ดิฉัน
1,私たち,phûak raw,(พวก)เรา
1,あなた・〜さん,khun ~,คุณ(~)
1,おなたたち・きみたち,phûak khun,พวกคุณ
1,彼・彼女,khǎw,เขา
1,彼ら・彼女たち,phûak khǎw,พวกเขา
1,それ（動物などに）,man,มัน
1,みなさん,thúk thân,ทุกท่าน
1,この〜,~ níi,~นี้
1,その〜,~ nán,~นั้น
1,あの〜,~ nóon,~โน้น
1,この人,khon níi,คนนี้
1,その人,khon nán,คนนั้น
1,あの人,khon nóon,คนโน้น
1,これ,nîi / ʔan níi,นี่/อันนี้
1,それ,nân / ʔan nán,นั่น/อันนั้น
1,あれ,nôon / ʔan nóon,โน่น/อันโน้น
1,これらの〜,~ phûak níi,~พวกนี้
1,それらの〜,~ phûak nán,~พวกนั้น
1,あれらの〜,~ phûak nóon,~พวกโน้น
2,何（の〜）,~ ʔà ray,(~)อะไร
2,何という名前ですか。,chɯ̂ɯ ʔà ray,ชื่ออะไร
2,どうしたの,pen ʔà ray,เป็นอะไร
2,どんな用,thúʔ ráʔ ʔà ray,ธุระอะไร
2,どういう意味,plɛɛ wâa ʔà ray,แปลว่าอะไร
2,誰,kray,ใคร
2,誰の,khɔ̌ɔŋ kray,ของใคร
2,誰と,kàp kray,กับใคร
2,どの〜,~ nǎy,~ไหน
2,どこ,thîi nǎy,ที่ไหน
2,どこ（狭く）,troŋ nǎy,ตรงไหน
2,どれ,ʔan nǎy,อันไหน
2,どちらのほう,thaaŋ nǎy,ทางไหน
2,どの人,khon nǎy,คนไหน
2,なぜ,tham may,ทำไม
2,いつ,mɯ̂a ray,เมื่อไร
2,どのような（に）,yàaŋ ray,อย่างไร
2,どうですか,pen yàaŋ ray,เป็นอย่างไร
2,どうしよう,tham yàaŋ ray,ทำอย่างไร
2,いくら,thâw ray,เท่าไร
2,いくつ（年齢をきく）,ʔaa yúʔ thâw ray,อายุเท่าไร
3,1,nɯ̀ŋ,หนึ่ง
3,2,sɔ̌ɔŋ,สอง
3,3,sǎam,สาม
3,4,sìi,สี่
3,5,hâa,ห้า
3,6,hòk,หก
3,7,cèt,เจ็ด
3,8,pɛ̀ɛt,แปด
3,9,kâaw,เก้า
3,10,sìp,สิบ
3,11,sìp ʔèt,สิบเอ็ด
3,12,sìp sɔ̌ɔŋ,สิบสอง
3,13,sìp sǎam,สิบสาม
3,14,sìp sìi,สิบสี่
3,15,sìp hâa,สิบห้า
3,16,sìp hòk,สิบหก
3,17,sìp cèt,สิบเจ็ด
3,18,sìp pɛ̀ɛt,สิบแปด
3,19,sìp kâaw,สิบเก้า
3,20,yîi sìp,ยี่สิบ
3,21,yîi sìp ʔèt,ยี่สิบเอ็ด
4,30,sǎam sìp,สามสิบ
4,40,sìi sìp,สี่สิบ
4,50,hâa sìp,ห้าสิบ
4,60,hòk sìp,หกสิบ
4,70,cèt sìp,เจ็ดสิบ
4,80,pɛ̀ɛt sìp,แปดสิบ
4,90,kâaw sìp,เก้าสิบ
4,100,rɔ́ɔy,ร้อย
4,千,phan,พัน
4,万,mɯ̀ɯn,หมื่น
4,十万,sɛ̌ɛn,แสน
4,百万,láan,ล้าน
4,千万,sìp láan,สิบล้าน
4,億,rɔ́ɔy láan,ร้อยล้าน
4,兆,láan láan,ล้านล้าน
4,ゼロ,sǔun,ศูนย์
4,99,kâaw sìp kâaw,เก้าสิบเก้า
4,101,rɔ́ɔy nɯ̀ŋ,ร้อยหนึ่ง
4,1001,phan nɯ̀ŋ,พันหนึ่ง
4,1989,nɯ̀ŋ phan kâaw rɔ́ɔy kâaw sìp kâaw,หนึ่งพันเก้าร้อยเก้าสิบเก้า
4,2532,sɔ̌ɔŋ phan hâa rɔ́ɔy sǎam sìp sɔ̌ɔŋ,สองพันห้าร้อยสามสิบสอง
5,数,lêek,เลข
5,2・3の〜,sɔ̌ɔŋ sǎam ~,สองสาม~
5,第一の〜・一番目の〜,~ thîi nɯ̀ŋ,~ที่หนึ่ง
5,2番目の〜,~ thîi sɔ̌ɔŋ,~ที่สอง
5,何番目の〜,~ thîi thâw ray,~ที่เท่าไร
5,いくつの〜,kìi ~,กี่~
5,何個,kìi ʔan,กี่อัน
5,それぞれの〜,tɛ̀ɛ láʔ ~,แต่ละ~
5,すべての〜,thúk ~,ทุก~
5,〜万以上,mɯ̀ɯn kwàa,หมื่นกว่า
5,数え切れない,náp mây thûan,นับไม่ถ้วน
5,だいたい,pra maan,ประมาณ
5,3分の1（分数）,sèet nɯ̀ŋ sùan sǎam,เศษหนึ่งส่วนสาม
5,12.39（小数）,sìp sɔ̌ɔŋ cùt sǎam kâaw,สิบสองจุดสามเก้า
5,半分,khrɯ̂ŋ,ครึ่ง
5,〜倍,~ thâw,~เท่า
5,足す,bùak,บวก
5,引く,lóp,ลบ
5,かける,khuun,คูณ
5,割る,hǎan,หาร
5,イコール〜,thâw kàp ~,เท่ากับ~
6,未明,cháaw mɯ̂ɯt,เช้ามืด
6,明け方,cháaw trùu,เช้าตรู่
6,朝（早く）,cháaw,เช้า
6,午前中,tɔɔn cháaw,ตอนเช้า
6,朝（遅く）,tɔɔn sǎay,ตอนสาย
6,正午,thîaŋ wan,เที่ยงวัน
6,午後,tɔɔn bàay,ตอนบ่าย
6,昼（間）,klaaŋ wan,กลางวัน
6,夕方から晩にかけて,tɔɔn yen,ตอนเย็น
6,夜間・夜中,klaaŋ khɯɯn,กลางคืน
6,深夜,dɯ̀k,ดึก
6,一日,nɯ̀ŋ wan,หนึ่งวัน
6,一日中,tà lɔ̀ɔt tháŋ wan,ตลอดทั้งวัน
6,半日,khrɯ̂ŋ wan,ครึ่งวัน
6,時間・時刻,wee laa,เวลา
6,時間,chûa mooŋ,ชั่วโมง
6,何時間,kìi chûa mooŋ,กี่ชั่วโมง
6,〜時,~ mooŋ,~โมง
6,何時（たずねる時）,kìi mooŋ,กี่โมง
6,分,naa thii,นาที
6,秒,wíʔ naa thii,วินาที
7,午前1時,tii nîi,ตีหนี่ง
7,午前2時,tii sɔ̌ɔŋ,ตีสอง
7,午前5時,tii hâa,ตีห้า
7,午前6時,hòk mooŋ cháaw,หกโมงเช้า
7,午前7時,cèt mooŋ cháaw,เจ็ดโมงเช้า
7,午前8時,pɛ̀ɛt mooŋ cháaw,แปดโมงเช้า
7,午前11時,sìp ʔèt mooŋ cháaw,สิบเอ็ดโมงเช้า
7,正午,thîaŋ,เที่ยง
7,午後1時,bàay mooŋ,บ่ายโมง
7,午後2時,bàay sɔ̌ɔŋ mooŋ,บ่ายสองโมง
7,午後3時,bàay sǎam mooŋ,บ่ายสามโมง
7,午後4時,sìi mooŋ yen,สี่โมงเย็น
7,午後6時,hòk mooŋ yen,หกโมงเย็น
7,午後7時,thûm,ทุ่ม
7,午後8時,sɔ̌ɔŋ thûm,สองทุ่ม
7,午後9時,sǎam thûm,สามทุ่ม
7,午後10時,sìi thûm,สี่ทุ่ม
7,午後11時,hâa thûm,ห้าทุ่ม
7,午前0時,thîaŋ khɯɯn,เที่ยงคืน
7,午前9時,kâaw naa lí kaa,เก้านาฬิกา
7,午後9時,yîi sìp ʔèt naa lí kaa,ยี่สิบเอ็ดนาฬิกา
8,今,wee laa níi,เวลานี้
8,現在,pàt cùʔ ban níi,ปัจจุบันนี้
8,すぐに,than thii,ทันที
8,今すぐに,dǐaw níi,เดี๋ยวนี้
8,ふだんは・普通（の）,tham má daa,ธรรมดา
8,まず・先に,kɔ̀ɔn,ก่อน
8,さっき,mɯ̂a kîi níi,เมื่อกี้นี้
8,この前,mɯ̂a kɔ̀ɔn níi,เมื่อก่อนนี้
8,あとで（時間）・後日,wan lǎŋ,วันหลัง
8,あとで（順番）・今後,thii lǎŋ,ทีหลัง
8,これから・今後,tɔ̀ɔ pay níi,ต่อไปนี้
8,次（の〜）,~ tɔ̀ɔ pay,(~)ต่อไป
8,ふたたび,ʔìik / mày,อีก/ใหม่
8,時々,baaŋ thii,บางที
8,たびたび,bɔ̀ɔy,บ่อย(ๆ)
8,いつも,sa mə̌ə,เสมอ
