sent,level
ＸＰの期限切れは、学習に大きな影響を与えると考えている。,3.5
中には、レジを待つ間に読み始めるファンや、１０冊をまとめ買いする人もいました。,3.5
やはり村上春樹さんならではのことだと思います。,3.5
このため、値下げによって客数を３０％増やし黒字化を目指すということです。,3.5
同じように凍結防止剤を多く使っている橋は全体の４分の１に上るということです。,3.5
不適切な発言があったことについておわびしたい。,3.5
五冠を達成した里見香奈さんは、島根県出雲市出身の２１歳。,3.5
物体を１億倍にまで拡大できる顕微鏡を通じて撮影されました。,3.5
犠牲者のほとんどは市民で、けが人の数も２０００人以上に上っています。,3.5
また、日本がホームでワールドカップ出場を決めるのは今回が初めてです。,3.5
特に人気があるのは、一般向けに分かりやすく書かれた書籍です。,3.5
孫が１４人、ひ孫が２５人、やしゃごが１５人います。,3.5
多くは、一般の人たちに科学を説明する立場にあります。,3.5
およそ９キロの区間に植えられているあじさいは青紫色やピンク色などおよそ１万株。,3.5
箱根登山鉄道の線路沿いのあじさいは、７月上旬まで楽しめるということです。,3.5
エンゲルバート氏は今月２日、カリフォルニア州の自宅で亡くなったということです。,3.5
参議院選挙の立候補の受け付けは、午後５時に締め切られました。,3.5
次の大会は再来年の８月、ブラジルのサンパウロで開かれます。,3.5
地図やレジャーシートなどの折り畳み方として実用化されている「ミウラ折り」。,3.5
また、このミウラ折りを応用した飲料用の缶もすでに実用化されています。,3.5
一方、民主党は、結党以来、最も少ない１７議席にとどまり、大敗しました。,3.5
また、自民・公明両党は、合わせて７６議席を獲得しました。,3.5
こうやってじっくり顔を見るのは私も初めてです。,3.5
危険だとは思いながらもつい使ってしまいます。,3.5
また、少なくとも住宅６０棟が倒壊し、多数の車が流されたりしたということです。,3.5
星雲を拡大してみると、中には、いくつもの星があることが分かります。,3.5
一方、４月と６月には、指針の数値を超えた日は無かったということです。,3.5
また、２位は「オカザえもん」、３位は「ことちゃん」でした。,3.5
サングラスをかけ、タクシー運転手の制服に身を包んだストルテンベルグ首相。,3.5
この展示会は、来月２９日まで開かれています。,3.5
このうち杉並区では、住宅２棟が床上まで浸水し、１棟が床下浸水しました。,3.5
三鷹市では、理髪店が床上浸水したほか、住宅２棟が床下浸水しました。,3.5
車庫に住んでいる人もいて、冷房施設もない。,3.5
そして正午の時報とともに、参列者全員で１分間の黙とうをささげました。,3.5
夫に、子どもも孫もみんな丈夫に育ったことを伝えたいと思います。,3.5
そして、花束をささげ、深く頭を下げて、戦没者の霊を慰めていました。,3.5
イチロー選手は、ヘルメットをとって一礼し、大歓声に応えました。,3.5
日本のプロ野球には４０００本安打を達成した選手はいません。,3.5
チームメートになって見えてきたのは、どれだけ必死に練習しているかだ。,3.5
音が静かになったということだが会話も普通にできた。,3.5
例えば地上最速の動物とされるチータは、時速およそ１００キロと言われています。,3.5
世界三大映画祭に作品がノミネート中の監督の引退発表は異例です。,3.5
宮崎監督は今月６日に東京都内で記者会見して引退の理由などを語るということです。,3.5
点数は８０点ぐらいで、まだ改善の余地はあるので最後の詰めをこれからやりたい。,3.5
内容は当日のお楽しみですが、出来には自信を持っています。,3.5
ＪＲ函館駅近くの観光名所、函館朝市では、関係者の間に動揺が広がっていました。,3.5
また、小児科がある病院は２７０２施設で、前の年より３１施設減りました。,3.5
東京電力は「継続的に見ていかないと原因や傾向はわからない」としています。,3.5
講演会とは別に、横浜市では、福島さんの作品を紹介する写真展が開かれています。,3.5
中村さんは原爆症に苦しんだ末、１９６７年に死去。,3.5
バレンティン選手はカリブ海のオランダ領キュラソー島出身の２９歳。,3.5
長距離打者としてのコツを、ものにしたのだと思います。,3.5
バレンティン選手はカリブ海のオランダ領キュラソー島出身の２９歳。,3.5
女性は病院に運ばれ治療を受けていますが、命に別状はないということです。,3.5
「日本酒」も値上がりする可能性があります。,3.5
同２位、オックスフォード大学（英）。,3.5
日本の大学で上位２００位に入ったのは以下の大学です。,3.5
世界選手権の４連覇は男女を通じて史上初めてです。,3.5
接戦でしたが、日本で厳しい戦いをしてきたのでその経験を生かせた。,3.5
ことしのノーベル賞の発表が７日から始まります。,3.5
そして１０日以降も文学賞、平和賞、経済学賞が発表されます。,3.5
それぞれの分野ごとに毎年３人までが受賞し、これまでに８６３人が受賞しています。,3.5
